===================================================================================
       DINAJPUR EDUCATION BOARD — COMPLETE HSC COLLEGE & EIIN MASTER LIST
       Total Verified HSC Institutions: 875 across 8 Districts
===================================================================================


############################# DINAJPUR DISTRICT (166 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
127378     | Non-government School And College    | Border Guard Public School And College Rangpur
127500     | Non-government School And College    | Cantonment Public School And College Rangpur
127510     | Non-government School And College    | Carmichael Collegiate High School And College
127503     | Non-government School And College    | Collectorate School And College
127979     | Non-government School And College    | Dangirhat High School And College
127508     | Non-government School And College    | Darshana Basiron Nessa High School And College Rangpur
127777     | Non-government School And College    | Deuti High School And College Rangpur
127302     | Non-government School And College    | Dhontola R. U. School And College
127300     | Non-government School And College    | Gajoghanta High School And College
127523     | Non-government School And College    | Gopalpur Bl High School And College
127313     | Non-government School And College    | Imamgonj School And College
127367     | Non-government School And College    | Jaheda Khatun Girls School And College
127673     | Non-government School And College    | Jaigir High School And College
127851     | Non-government School And College    | K.J. Islam Girls School And College
127688     | Non-government School And College    | Kandirhat School And College
127950     | Non-government School And College    | Kashiabari School And College
127509     | Non-government School And College    | Kerani Hat High School And College Rangpur
127301     | Non-government School And College    | Khaleya Khapri Khal School And College
127238     | Non-government School And College    | Kutubpur Arunnesa High School And College
127240     | Non-government School And College    | Kutubpur B. L. High School And College
127504     | Non-government School And College    | Lalkuthi Girls High School And College
127496     | Non-government School And College    | Lions School And College
127502     | Non-government School And College    | Mahiganj Girls High School And College Rangpur
127674     | Non-government School And College    | Mirjapur Adarsha School And College
127390     | Non-government School And College    | Mominpur School And College
127676     | Non-government School And College    | Padaganj High School And College
127506     | Non-government School And College    | Pagla Pir School And College
127501     | Non-government School And College    | Police Lines School And College Rangpur
136959     | Non-government School And College    | Rangpur Public College
127678     | Non-government School And College    | Ranipukur High School And College
127799     | Non-government School And College    | Rasulpur Mahtabia Dimukhi School And College
127505     | Non-government School And College    | Robertsonganj Girls High School And College Rangpur
127379     | Non-government School And College    | Robertsongonj High School And College
127498     | Non-government School And College    | Samaj Kalyan Bidyabithi Rangpur
127677     | Non-government School And College    | Serudanga High School And College Rangpur
127315     | Non-government School And College    | Shahidbag School And College
127507     | Non-government School And College    | Shayampur Girls High School And College
127981     | Non-government School And College    | Syarkazipara School And College
127980     | Non-government School And College    | Taraganj O. A. Girls School And College
127361     | Non-government School And College    | Tepa Madhupur Girls High School And College
134127     | Non-government School And College    | The Millennium Stars School And College
127375     | Non-government School And College    | Uttam School And College Rangpur
135367     | Non-government Technical And Vocational | Advocate Rokeya Begum Vocational School And College
133853     | Non-government Technical And Vocational | Baruahat Technical And Business Managment College
132534     | Non-government Technical And Vocational | Chand Kuthir Danga Technical School & Bm College
132965     | Non-government Technical And Vocational | Chatra Science And Technical College
136159     | Non-government Technical And Vocational | Dr. M.r. Mohila Technical And Bm College
134027     | Non-government Technical And Vocational | Gangachara Technical And Business Management College
134708     | Non-government Technical And Vocational | Giraihat Technical And Business Management College
136158     | Non-government Technical And Vocational | Gopalpur Technical College
132832     | Non-government Technical And Vocational | Kazi Para Ideal Women Technical College
135116     | Non-government Technical And Vocational | Keshabpur Technical And Business Management College
132781     | Non-government Technical And Vocational | Khalashpur Technical And Business Managemant College
133881     | Non-government Technical And Vocational | Khandakar Abdul Karim Miah Bm College
132391     | Non-government Technical And Vocational | Laldighi Pirpal College(b.m)
133009     | Non-government Technical And Vocational | Maderhat Technical And B.m. College
133033     | Non-government Technical And Vocational | Pirgonj  Biggan  And  Karigori   College
137693     | Non-government Technical And Vocational | Pirgonj Women Technical And Bm College
132720     | Non-government Technical And Vocational | Rangpur B. M College
132849     | Non-government Technical And Vocational | Rangpur City Technical And Business Management College
132945     | Non-government Technical And Vocational | Shahebgonj Technical And Business Management College
138042     | Non-government Technical And Vocational | Sirajuddin Technical And Business Management College
133863     | Non-government Technical And Vocational | Taluk Habu Technical And Business Managment College
132269     | Non-government Technical And Vocational | Taragonj Karigori & Business Management College
132319     | Non-government Technical And Vocational | Taragonj Technical And B M College O Ssc Voc School
127497     | Others School And College            | R.C.C.I. Public School And College

############################# GAIBANDHA DISTRICT (107 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
------------------------------------------------------------------------------------------------
121190     | Autonomous School And College        | Ahmed Uddin Shah Shishu Niketan School And College
138197     | General College (HSC)                | Pobnapur Women College
121184     | Government College                   | Gaibandha Govt. College
121183     | Government College                   | Gaibandha Women S College
121426     | Government College                   | Palashbari Govt. College
132422     | Government Technical And Vocational  | Gaibandha Tecnical School And College
121754     | Non-government College               | Abdul Jabbar College Dharmapur
121762     | Non-government College               | Bajarpara College
121756     | Non-government College               | Baman Danga Abdul Haque College
121759     | Non-government College               | Belka College Gaibandha
121610     | Non-government College               | Bonarpara College
131930     | Non-government College               | Dharmapur Women S College
121761     | Non-government College               | Dhubni Women S College
121760     | Non-government College               | Dhubnikanchibari College
121354     | Non-government College               | Ekramul Haq Ideal And Computer Biggan College
121427     | Non-government College               | Fakir Hat Shahid Smriti College Palashbari Gaibandha
138012     | Non-government College               | Fakirhat Mohila College
121099     | Non-government College               | Fulchhari College
121353     | Non-government College               | Fulpukuria College Gaibandha
121185     | Non-government College               | Gaibandha Adarsha College
121347     | Non-government College               | Gobindaganj College
121349     | Non-government College               | Gobindaganj Women S College
121186     | Non-government College               | Haji Osman Gani College Dariapur Gaibandha
121429     | Non-government College               | Horinabari College
121543     | Non-government College               | Joyenpur Adarsha College Gaibandha
121611     | Non-government College               | Jumarbari Adarsha College Gaibandha
136909     | Non-government College               | Jumarbari Mohila College
121612     | Non-government College               | Kamaler Para College
121541     | Non-government College               | Kamar Para College Gaibandha
121351     | Non-government College               | Kamdia Nural Haque College
121345     | Non-government College               | Kochashahar Shilpa Nagori College And Gobeshona Kendra
121098     | Non-government College               | Konchipara College Fulchhari
121188     | Non-government College               | Lengarbazar Ideal College
121350     | Non-government College               | Mahimaganj College
121346     | Non-government College               | Mahimaganj Women S College
121430     | Non-government College               | Merirhat Model College
121540     | Non-government College               | Mohipur Bazar College Gaibandha
121344     | Non-government College               | Nakaihat College
121538     | Non-government College               | Naldanga College
135421     | Non-government College               | Naldanga Women S College
121425     | Non-government College               | Palashbari Adarsha College
121428     | Non-government College               | Palashbari Women S College
121753     | Non-government College               | Ramdeb Shaikh Khabiruddin College
121542     | Non-government College               | Sadullahpur Girls College Gaibandha
121539     | Non-government College               | Sadullapur College
121609     | Non-government College               | Saghata College
135415     | Non-government College               | Shabek Tajpur Mohela College
121537     | Non-government College               | Shah Asgar Ali College Dhaperhat
121352     | Non-government College               | Shahargachhi Adarsha College
121348     | Non-government College               | Shamim And Shakil Technical College
121763     | Non-government College               | Shovaganj Women S Model College
121758     | Non-government College               | Sobhaganj College Gaibandha
121755     | Non-government College               | Sundarganj D. W. College
121757     | Non-government College               | Sundarganj Women S College Gaibandha
121182     | Non-government College               | Tulshighat Shamsul Haque College
121096     | Non-government College               | Udakhali Model College
121097     | Non-government College               | Udakhali Women S College
121608     | Non-government College               | Udayan Women S College
133246     | Non-government School                | Green Field International High School And College
121365     | Non-government School And College    | Amlagachhi D.U Girls High School And College
121191     | Non-government School And College    | Asaduzzaman Girls High School And College
121765     | Non-government School And College    | Bamandanga M.M. Alhaj Hossain Mohammad Ershad School And College
121431     | Non-government School And College    | Basudebpur Chandra Kishore High School And College Gaibandha
121544     | Non-government School And College    | Bhatgram High School And College Gaibandha
121613     | Non-government School And College    | Bonarpara Girls High School And College
121355     | Non-government School And College    | Bura Buri Azitulla Sarker High School And College
121100     | Non-government School And College    | Burail Model School And College
121766     | Non-government School And College    | Chandipur Fazlul Hoque High School And College
121095     | Non-government School And College    | Chandria Women S College
121546     | Non-government School And College    | Dhaperhat Priyabala Girls High School And College
121547     | Non-government School And College    | Dholbhanga High School And College Gaibandha
131077     | Non-government School And College    | Gaibandha Sadar Upazila Model School And College
121638     | Non-government School And College    | Ghagoa High School And College
121545     | Non-government School And College    | Hingar Para Girls High School And College
121483     | Non-government School And College    | Hingerpara High School And B M College
121369     | Non-government School And College    | Kashiabari School And College
121189     | Non-government School And College    | Laxmipur High School And College Gaibandha
121226     | Non-government School And College    | Nakai Hat Girls School And College
121386     | Non-government School And College    | Palashbari S.M.B Adarsha M.L High School And College
121356     | Non-government School And College    | Piarapur I.G.M. School And College
132089     | Non-government School And College    | R. A. Gani School And College
121614     | Non-government School And College    | Saghata Pilot Girls High School And College
121357     | Non-government School And College    | Shahargachhi High School & College
121764     | Non-government School And College    | Shibram Alhaj Md. Hossain Smriti High School And College Gaibandha
133528     | Non-government Technical And Vocational | Abdul Quddus Sarker Krishi College And Research Centre
132377     | Non-government Technical And Vocational | Abu Hossian Sarker Mohila College
133118     | Non-government Technical And Vocational | Al-haj Selima Secondary And Technical College
132414     | Non-government Technical And Vocational | Bazar Para Technical School And Business Management College
135912     | Non-government Technical And Vocational | Bishubari Mohila Technical College
132946     | Non-government Technical And Vocational | Dhaperhat Technical And Business Management College
132740     | Non-government Technical And Vocational | Dharmopur S.i.d. Vocational School And Technical College
132405     | Non-government Technical And Vocational | Hatkhola  Tecnical And  B M  Women  College
135162     | Non-government Technical And Vocational | Idilpur Technical & Business Management College
135451     | Non-government Technical And Vocational | Kishamot Sherpur Technical And Bm College
132667     | Non-government Technical And Vocational | M A  Mottalib  Technecal  And  Business  Managemant  College
132607     | Non-government Technical And Vocational | M.a.samad Karigory  And Biggun College
132702     | Non-government Technical And Vocational | Matiar Rahman Technical And Business Managment College
134362     | Non-government Technical And Vocational | Mouzamalibari Tacnical School And B M College
132588     | Non-government Technical And Vocational | Palashbari Technical College
132402     | Non-government Technical And Vocational | Rahman Nagar Tecnical School And College
133686     | Non-government Technical And Vocational | Shaghata Technical And Business Management College
132765     | Non-government Technical And Vocational | Shobhagonj Amenabad Technical And B. M College
132363     | Non-government Technical And Vocational | Shovaganj Secondary Vocational School And B.m.college
132468     | Non-government Technical And Vocational | Sofiron Nessa Abdul Sheikh Technical And Business Management Women College
133012     | Non-government Technical And Vocational | Solaiman Nagar Technical And Business Management College
132800     | Non-government Technical And Vocational | Sundarganj Technical College
132463     | Non-government Technical And Vocational | Sundarganj Technical Commercial College

############################# KURIGRAM DISTRICT (106 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
------------------------------------------------------------------------------------------------
122164     | General College (HSC)                | Dakhin Khuria School And College
122551     | General College (HSC)                | Shoulmari M R School And College
122595     | General College (HSC)                | Umananda School And College
122331     | Government College                   | Kurigram Government College
122330     | Government College                   | Kurigram Government Women S College
122707     | Government College                   | Ulipur Government College
133042     | Government Technical And Vocational  | Technical School And College
122535     | Local Government College             | Rajar Hat Adarsha Mohila College Kurigram
122711     | Non-government College               | Bajra College Kurigram
137757     | Non-government College               | Baldia College
122241     | Non-government College               | Bara Bhita College
122454     | Non-government College               | Bhitarband College
135266     | Non-government College               | Bhitarbanda Women S College
122335     | Non-government College               | Bhogdanga Model College
122122     | Non-government College               | Bhurungamari College
122123     | Non-government College               | Bhurungamari Women S College
134349     | Non-government College               | Biddanando Mahabiddaloy
137747     | Non-government College               | Boraikandi College
137002     | Non-government College               | Bozra  L.k. Amin Degree College
122581     | Non-government College               | Char Shoilmari College Kurigram
122460     | Non-government College               | Chila Khana Model College
122177     | Non-government College               | Chilmari College
122179     | Non-government College               | Chilmari Women S College Kurigram
137746     | Non-government College               | Chor Soulmary Adarsha Mohila College
137994     | Non-government College               | Dant Bhanga Model College
122238     | Non-government College               | Fulbari College Kurigram
122240     | Non-government College               | Fulbari Women S College
122178     | Non-government College               | Golam Habib Women S College Kurigram
122710     | Non-government College               | Gunaigachh College Kurigram
136930     | Non-government College               | Habibur Rahman Model College
122583     | Non-government College               | Jadur Char College
122582     | Non-government College               | Jadur Char Model College
122329     | Non-government College               | Jatrapur Adarsha College
122459     | Non-government College               | Kaliganj College
122333     | Non-government College               | Kanthal Bari College
122239     | Non-government College               | Kashipur College
137041     | Non-government College               | Kedar Mohila College
136292     | Non-government College               | Kholer Hat College
122455     | Non-government College               | Kochakata College
135337     | Non-government College               | Kurigram City College
122125     | Non-government College               | Maidam College
122332     | Non-government College               | Majida Adarsha College
122534     | Non-government College               | Mir Ismail Hossain College Rajarhat
122706     | Non-government College               | Mondolerhat College
122457     | Non-government College               | Nageshawri Model College
122452     | Non-government College               | Nageshwari College
122453     | Non-government College               | Nageshwari Women S College
122533     | Non-government College               | Nak Kati Hat Adarsha College
136492     | Non-government College               | Namazer Char College
122458     | Non-government College               | Newashi College
122709     | Non-government College               | Panch Pir College
122334     | Non-government College               | Panchgachhi College
122536     | Non-government College               | Rajar Hat Women S College Kurigram
122146     | Non-government College               | Rajibpur College
122147     | Non-government College               | Rajibpur Women S College
122579     | Non-government College               | Roumari College
122580     | Non-government College               | Roumari Women S College Kurigram
122456     | Non-government College               | Royganj College Kurigram
122242     | Non-government College               | Saifur Rahman College
136920     | Non-government College               | Shaheed Mukti Jodha College
122124     | Non-government College               | Shonahat College
122537     | Non-government College               | Singar Dabrihat College
122461     | Non-government College               | Somaj Kallayan Women S College
137922     | Non-government College               | Sukhati College
137727     | Non-government College               | Thatrai A.J College
136925     | Non-government College               | Ulipur Adarsha College
122708     | Non-government College               | Ulipur Women S College
130823     | Non-government School And College    | Bagua Anantapur School And College
122715     | Non-government School And College    | Bajra L.K. Amin College Kurigram
122191     | Non-government School And College    | Balarhat Adarsha School And College
122126     | Non-government School And College    | Baldia Multileteral High School
122584     | Non-government School And College    | Dantbhanga High School And College Kurigram
122462     | Non-government School And College    | Daxmin Beparihat Bahimukhi High School And College
122127     | Non-government School And College    | Dhol Danga School And College
122716     | Non-government School And College    | Hazrat Fatima (Rh.) Puoro Girls School And College
122336     | Non-government School And College    | Khalilganj High School And College
122714     | Non-government School And College    | Krishna Mangal School And College Kurigram
122245     | Non-government School And College    | Kurigram Collectorate School And College
122558     | Non-government School And College    | Kutir Char School And College
122272     | Non-government School And College    | Madhyakumarpur Girls School And College
122243     | Non-government School And College    | Naodanga High School And College
122539     | Non-government School And College    | Nazim Khan High School And College Kurigram
122337     | Non-government School And College    | Nilaram High School And College
122464     | Non-government School And College    | Pangarani Laxmipriya School And College
122244     | Non-government School And College    | Rabaitari Adarsha Girls High School And College Kurigram
122338     | Non-government School And College    | Singar Dabrir Hat B. L. High School And College
122540     | Non-government School And College    | Tapurchar School And College
122712     | Non-government School And College    | Ulipur Maharani Sarnamoyi High School And College
